"","District","Epiweek","Epiyear","DISTCODE","SQKM","Province","Region","u5total","XCOORD","YCOORD","cases","IRSyear","IRSepiWeek","raint","tavg","rh","sd","psfc"
"66","MANDIMBA",32,2013,106,4680410.025,"NIASSA","Northern",30389,35.898768,-14.206997,273,2012,36,0,18.7114285714286,68.4828571428571,5.11428571428571,951.248571428571
"67","MANDLACAZE",8,2013,909,3686997.62,"GAZA","Coastal",29019,34.06745,-24.630596,1899,NA,NA,1.56,22.6414285714286,89.9128571428571,2.08,942.087142857143
"68","MANHIA",24,2013,1004,2365639.203,"MAPUTO","Coastal",30914,32.825775,-25.309744,219,NA,NA,0,17.8257142857143,86.8442857142857,1.98571428571429,951.508571428571
"69","MANICA",4,2013,607,4386478.789,"MANICA","Center",43964,33.108714,-18.832294,575,NA,NA,51.15,23.6557142857143,92.0785714285714,1.72285714285714,943.651428571429
"70","MARAVIA",16,2013,509,16705352.99,"TETE","Center",19386,32.065961,-15.094053,2768,NA,NA,0,20.6971428571429,86.45,2.46714285714286,947.027142857143
"71","MARINGUE",40,2013,710,6150008.667,"SOFALA","Center",18756,34.484821,-17.857706,498,2013,19,0,21.5371428571429,71.1342857142857,5.98857142857143,950.378571428571
"72","MARRACUENE",12,2013,1005,697110.063,"MAPUTO","Coastal",15710,32.71213,-25.657218,335,NA,NA,2.98,22.3457142857143,92.0428571428571,1.57142857142857,945.667142857143
"73","MARROMEU",20,2013,711,5753067.917,"SOFALA","Coastal",30871,35.740979,-18.425263,965,2013,20,0,18.8371428571429,89.0328571428571,1.74571428571429,952.028571428571
"74","MARRUPA",32,2013,107,17455511.28,"NIASSA","Northern",12033,37.519621,-13.030274,155,2012,42,0,18.7114285714286,68.4828571428571,5.11428571428571,951.248571428571
"75","MASSANGENA",48,2012,910,7544823.637,"GAZA","Southern",2643,32.593378,-21.748023,85,NA,NA,1.84,24.1485714285714,71.0742857142857,6.79428571428571,946.451428571429
"76","MASSINGA",4,2014,809,7408212.018,"INHAMBANE","Coastal",29824,35.021388,-22.836913,929,NA,NA,6.35,23.6085714285714,91.94,1.73857142857143,943.382857142857
"77","MASSINGIR",48,2012,911,5684432.157,"GAZA","Southern",5481,32.093796,-23.867982,477,NA,NA,1.84,24.1485714285714,71.0742857142857,6.79428571428571,946.451428571429
"78","MATUTUINE",20,2013,1006,5341956.761,"MAPUTO","Coastal",4653,32.563104,-26.526892,121,NA,NA,0,18.8371428571429,89.0328571428571,1.74571428571429,952.028571428571
"79","MAUA",36,2012,108,8046867.801,"NIASSA","Northern",9489,37.040516,-13.901954,58,2012,44,0,22.49,54.07,9.36571428571428,950.498571428571
